Game_Id,Date,Home_Team,Away_Team,Season,Home_Score,Away_Score,Overall_Power_Difference
195,2021-11-27,Liverpool,Chelsea,2021-2022,1,1,0.966399999999999
196,2021-11-27,Juventus,Barcelona,2021-2022,1,2,1.4714
197,2021-12-04,Chelsea,Barcelona,2021-2022,1,3,-2.3601
198,2021-12-04,Man Utd,Arsenal,2021-2022,3,1,-0.5605
199,2021-12-04,Liverpool,FC Bayern,2021-2022,1,1,-0.403199999999998
200,2021-12-04,Juventus,R. Madrid,2021-2022,3,0,-0.707599999999999
201,2022-01-01,Chelsea,Arsenal,2021-2022,3,0,1.5543
202,2022-01-01,Juventus,FC Bayern,2021-2022,1,2,0.2324
203,2022-01-01,Barcelona,R. Madrid,2021-2022,0,5,1.336
204,2022-01-01,Liverpool,Man Utd,2021-2022,1,2,2.4455
205,2022-01-22,Arsenal,Juventus,2021-2022,1,1,-0.520600000000002
206,2022-01-22,R. Madrid,Chelsea,2021-2022,2,0,1.5518
207,2022-01-22,Barcelona,Liverpool,2021-2022,0,3,-1.3392
208,2022-01-22,FC Bayern,Man Utd,2021-2022,2,2,-1.8541
209,2022-01-29,Man Utd,Juventus,2021-2022,1,1,-0.740200000000002
210,2022-01-29,R. Madrid,Liverpool,2021-2022,3,1,-1.7931
211,2022-01-29,FC Bayern,Chelsea,2021-2022,2,1,-1.571
212,2022-01-29,Arsenal,Barcelona,2021-2022,1,1,-0.627799999999999
213,2022-02-19,Juventus,Chelsea,2021-2022,2,2,-0.406999999999998
214,2022-02-19,FC Bayern,R. Madrid,2021-2022,3,0,1.1074
215,2022-02-19,Man Utd,Barcelona,2021-2022,2,2,-0.562999999999999
216,2022-02-19,Arsenal,Liverpool,2021-2022,1,1,0.895700000000002
217,2022-04-16,Liverpool,Juventus,2021-2022,1,0,1.3779
218,2022-04-16,R. Madrid,Arsenal,2021-2022,0,2,0.5271
219,2022-04-16,Barcelona,FC Bayern,2021-2022,1,0,0.838500000000002
220,2022-04-16,Chelsea,Man Utd,2021-2022,0,1,1.32
221,2022-04-30,Arsenal,FC Bayern,2021-2022,2,3,-1.3386
222,2022-04-30,Chelsea,Liverpool,2021-2022,2,0,-0.245899999999998
223,2022-04-30,Barcelona,Juventus,2021-2022,1,3,2.6284
224,2022-04-30,R. Madrid,Man Utd,2021-2022,2,0,-0.371800000000002
225,2023-08-12,Juventus,R. Madrid,2023-2024,2,4,-0.0167
226,2023-08-12,Liverpool,Arsenal,2023-2024,3,0,1.1518
227,2023-08-12,FC Bayern,Chelsea,2023-2024,1,2,1.1697
228,2023-08-12,Man Utd,Barcelona,2023-2024,4,1,-0.459700000000002
229,2023-08-19,Arsenal,Juventus,2023-2024,3,2,0.911099999999999
230,2023-08-19,Chelsea,Liverpool,2023-2024,1,0,-0.154799999999999
231,2023-08-19,R. Madrid,Man Utd,2023-2024,1,3,-0.586799999999998
232,2023-08-19,Barcelona,FC Bayern,2023-2024,1,1,-1.4881
233,2023-09-16,Man Utd,Arsenal,2023-2024,0,3,-0.4167
234,2023-09-16,Barcelona,Chelsea,2023-2024,0,0,1.8612
235,2023-09-16,Juventus,Liverpool,2023-2024,1,3,-0.073200000000001
236,2023-09-16,FC Bayern,R. Madrid,2023-2024,3,0,1.7237
237,2023-10-07,R. Madrid,Chelsea,2023-2024,0,2,0.2094
238,2023-10-07,Barcelona,Arsenal,2023-2024,2,0,1.2127
239,2023-10-07,Man Utd,Juventus,2023-2024,2,1,-1.5178
240,2023-10-07,FC Bayern,Liverpool,2023-2024,1,1,-0.879599999999999
241,2023-11-04,Liverpool,Man Utd,2023-2024,1,2,-0.033499999999999
242,2023-11-04,Arsenal,FC Bayern,2023-2024,0,2,0.051400000000002
243,2023-11-04,Chelsea,Juventus,2023-2024,3,0,0.7216
244,2023-11-04,R. Madrid,Barcelona,2023-2024,1,1,-1.3914
245,2023-11-11,Liverpool,Barcelona,2023-2024,1,0,-1.6814
246,2023-11-11,Chelsea,Man Utd,2023-2024,3,0,0.1694
247,2023-11-11,Juventus,FC Bayern,2023-2024,2,0,0.830799999999998
248,2023-11-11,Arsenal,R. Madrid,2023-2024,3,0,-0.2703
249,2023-12-02,R. Madrid,Liverpool,2023-2024,1,1,-1.7552
250,2023-12-02,FC Bayern,Man Utd,2023-2024,0,0,1.0298
251,2023-12-02,Barcelona,Juventus,2023-2024,0,1,-1.2289
252,2023-12-02,Chelsea,Arsenal,2023-2024,0,1,0.717900000000003
253,2023-12-09,R. Madrid,Juventus,2023-2024,2,4,-0.325500000000002
254,2023-12-09,Arsenal,Liverpool,2023-2024,2,1,1.1306
255,2023-12-09,Barcelona,Man Utd,2023-2024,0,0,0.5175
256,2023-12-09,Chelsea,FC Bayern,2023-2024,2,1,1.4477
257,2023-12-30,FC Bayern,Barcelona,2023-2024,0,2,-2.3396
258,2023-12-30,Liverpool,Chelsea,2023-2024,2,3,1.0908
259,2023-12-30,Man Utd,R. Madrid,2023-2024,0,2,1.7232
260,2023-12-30,Juventus,Arsenal,2023-2024,2,1,-1.3874
261,2024-01-06,Arsenal,Man Utd,2023-2024,1,1,-0.1054
262,2024-01-06,R. Madrid,FC Bayern,2023-2024,1,1,2.1476
263,2024-01-06,Chelsea,Barcelona,2023-2024,1,2,-0.059599999999999
264,2024-01-06,Liverpool,Juventus,2023-2024,1,3,1.284
265,2024-01-27,Juventus,Chelsea,2023-2024,2,2,-0.095699999999999
266,2024-01-27,Barcelona,R. Madrid,2023-2024,3,2,0.580400000000001
267,2024-01-27,Man Utd,Liverpool,2023-2024,1,0,0.730700000000001
268,2024-01-27,FC Bayern,Arsenal,2023-2024,2,1,-1.1762
269,2024-02-24,Barcelona,Liverpool,2023-2024,1,0,-1.0523
270,2024-02-24,R. Madrid,Arsenal,2023-2024,2,1,0.922000000000001
271,2024-02-24,Man Utd,Chelsea,2023-2024,1,3,1.5729
272,2024-02-24,FC Bayern,Juventus,2023-2024,1,2,-0.462800000000001
273,2024-04-20,Juventus,Man Utd,2023-2024,2,1,0.538
274,2024-04-20,Chelsea,R. Madrid,2023-2024,3,0,0.0789
275,2024-04-20,Liverpool,FC Bayern,2023-2024,0,2,-0.869899999999998
276,2024-04-20,Arsenal,Barcelona,2023-2024,1,1,-0.123900000000001
277,2024-05-04,Liverpool,R. Madrid,2023-2024,4,0,-1.2353
278,2024-05-04,Juventus,Barcelona,2023-2024,2,0,0.662600000000002
279,2024-05-04,Man Utd,FC Bayern,2023-2024,1,1,1.0189
280,2024-05-04,Arsenal,Chelsea,2023-2024,3,0,-0.2479
281,2024-08-10,Barcelona,Man Utd,2024-2025,0,0,-0.714600000000003
282,2024-08-10,Arsenal,Juventus,2024-2025,3,1,-0.2781
283,2024-08-10,Chelsea,FC Bayern,2024-2025,2,1,1.8323
284,2024-08-10,R. Madrid,Liverpool,2024-2025,1,1,-1.1229
285,2024-08-17,Juventus,R. Madrid,2024-2025,2,0,0.432699999999998
286,2024-08-17,Liverpool,Chelsea,2024-2025,3,1,-0.127800000000001
287,2024-08-17,FC Bayern,Barcelona,2024-2025,1,1,1.5178
288,2024-08-17,Man Utd,Arsenal,2024-2025,4,0,0.668299999999999
289,2024-09-14,R. Madrid,Man Utd,2024-2025,2,1,-1.0433
290,2024-09-14,Arsenal,FC Bayern,2024-2025,3,0,-1.2802
291,2024-09-14,Barcelona,Chelsea,2024-2025,2,1,-0.4494
292,2024-09-14,Juventus,Liverpool,2024-2025,2,3,1.4292
293,2024-10-05,FC Bayern,R. Madrid,2024-2025,2,1,0.493700000000001
294,2024-10-05,Man Utd,Juventus,2024-2025,2,0,-1.3842
295,2024-10-05,Chelsea,Arsenal,2024-2025,3,0,0.6761
296,2024-10-05,Liverpool,Barcelona,2024-2025,2,2,0.1887
297,2024-11-02,R. Madrid,Chelsea,2024-2025,3,2,0.371700000000001
298,2024-11-02,Arsenal,Barcelona,2024-2025,1,1,-1.2193
299,2024-11-02,Juventus,FC Bayern,2024-2025,1,2,3.1139
300,2024-11-02,Man Utd,Liverpool,2024-2025,0,1,2.4294
301,2024-11-09,FC Bayern,Man Utd,2024-2025,0,3,-0.0539
302,2024-11-09,Barcelona,R. Madrid,2024-2025,1,3,0.5316
303,2024-11-09,Chelsea,Juventus,2024-2025,3,0,-0.064900000000001
304,2024-11-09,Liverpool,Arsenal,2024-2025,2,0,1.3233
305,2024-11-30,Juventus,Barcelona,2024-2025,2,2,-1.2295
306,2024-11-30,R. Madrid,Arsenal,2024-2025,3,2,0.480300000000002
307,2024-11-30,Man Utd,Chelsea,2024-2025,1,2,0.340899999999999
308,2024-11-30,Liverpool,FC Bayern,2024-2025,1,1,-3.4323
309,2024-12-07,Chelsea,Liverpool,2024-2025,1,1,-0.033399999999999
310,2024-12-07,Arsenal,Man Utd,2024-2025,2,1,0.952100000000001
311,2024-12-07,R. Madrid,Juventus,2024-2025,2,1,-1.3245
312,2024-12-07,Barcelona,FC Bayern,2024-2025,1,2,-0.426299999999999
313,2024-12-28,Juventus,Arsenal,2024-2025,1,0,-2.891
314,2024-12-28,Man Utd,Barcelona,2024-2025,4,2,0.752499999999999
315,2024-12-28,FC Bayern,Chelsea,2024-2025,0,3,0.946500000000001
316,2024-12-28,Liverpool,R. Madrid,2024-2025,4,0,0.145099999999999
317,2025-01-04,FC Bayern,Arsenal,2024-2025,3,1,-0.0218
318,2025-01-04,Chelsea,Barcelona,2024-2025,1,1,1.492
319,2025-01-04,Man Utd,R. Madrid,2024-2025,1,1,-0.144500000000001
320,2025-01-04,Liverpool,Juventus,2024-2025,1,1,-0.9868
321,2025-01-25,Juventus,Man Utd,2024-2025,1,2,1.3849
322,2025-01-25,R. Madrid,FC Bayern,2024-2025,1,2,-0.242000000000001
323,2025-01-25,Arsenal,Chelsea,2024-2025,1,2,-0.0251
324,2025-01-25,Barcelona,Liverpool,2024-2025,1,4,0.119400000000001
325,2025-02-22,Barcelona,Arsenal,2024-2025,1,2,-0.252899999999999
326,2025-02-22,FC Bayern,Juventus,2024-2025,1,2,-0.129099999999999
327,2025-02-22,Chelsea,R. Madrid,2024-2025,3,1,1.1312
328,2025-02-22,Liverpool,Man Utd,2024-2025,0,0,1.4901
329,2025-04-19,Man Utd,FC Bayern,2024-2025,3,0,-1.6514
330,2025-04-19,R. Madrid,Barcelona,2024-2025,1,1,1.3816
331,2025-04-19,Arsenal,Liverpool,2024-2025,3,2,1.11
332,2025-04-19,Juventus,Chelsea,2024-2025,1,1,-2.4564
333,2025-05-03,Barcelona,Juventus,2024-2025,0,2,1.0793
334,2025-05-03,Chelsea,Man Utd,2024-2025,2,1,-0.275499999999997
335,2025-05-03,FC Bayern,Liverpool,2024-2025,0,2,3.0683
336,2025-05-03,Arsenal,R. Madrid,2024-2025,2,2,0.274799999999999
337,2025-08-09,Barcelona,Man Utd,2025-2026,1,1,0.051400000000003
338,2025-08-09,Juventus,Chelsea,2025-2026,2,0,4.3793
339,2025-08-09,FC Bayern,Arsenal,2025-2026,0,1,0.628499999999999
340,2025-08-09,Liverpool,R. Madrid,2025-2026,0,1,0.0064
341,2025-08-16,Arsenal,Barcelona,2025-2026,1,2,1.9171
342,2025-08-16,Chelsea,Liverpool,2025-2026,1,2,-0.400000000000002
343,2025-08-16,Man Utd,Juventus,2025-2026,2,1,-2.1123
344,2025-08-16,R. Madrid,FC Bayern,2025-2026,2,1,3.2101
345,2025-09-13,FC Bayern,Chelsea,2025-2026,2,1,0.347399999999999
346,2025-09-13,Liverpool,Juventus,2025-2026,0,1,2.6715
347,2025-09-13,Arsenal,Man Utd,2025-2026,0,1,2.7068
348,2025-09-13,Barcelona,R. Madrid,2025-2026,1,1,-0.7043
349,2025-10-04,Chelsea,Barcelona,2025-2026,3,0,1.6693
350,2025-10-04,Juventus,FC Bayern,2025-2026,2,3,0.400600000000002
351,2025-10-04,Man Utd,Liverpool,2025-2026,2,3,-0.348
352,2025-10-04,R. Madrid,Arsenal,2025-2026,0,2,0.881499999999999
353,2025-11-01,FC Bayern,Liverpool,2025-2026,0,2,1.7411
354,2025-11-01,Arsenal,Chelsea,2025-2026,1,2,-1.6982
355,2025-11-01,R. Madrid,Man Utd,2025-2026,1,1,-1.6326
356,2025-11-01,Barcelona,Juventus,2025-2026,1,2,1.4851
357,2025-11-08,Juventus,Arsenal,2025-2026,1,1,1.614
358,2025-11-08,Chelsea,R. Madrid,2025-2026,1,2,-1.7303
359,2025-11-08,Liverpool,Barcelona,2025-2026,3,0,0.554
360,2025-11-08,Man Utd,FC Bayern,2025-2026,2,2,0.554000000000002
361,2025-11-29,Man Utd,Chelsea,2025-2026,2,1,-1.7277
362,2025-11-29,R. Madrid,Juventus,2025-2026,2,1,0.344700000000001
363,2025-11-29,Barcelona,FC Bayern,2025-2026,1,1,2.1887
364,2025-11-29,Arsenal,Liverpool,2025-2026,1,2,2.9032
365,2025-12-06,Barcelona,Arsenal,2025-2026,1,1,4.0826
366,2025-12-06,Liverpool,Chelsea,2025-2026,1,2,0.339
367,2025-12-06,Juventus,Man Utd,2025-2026,2,0,-0.018600000000001
368,2025-12-06,FC Bayern,R. Madrid,2025-2026,4,1,1.1268
369,2025-12-27,Man Utd,Barcelona,2025-2026,2,1,1.2615
